"COMID","Code","Sample_ID","Year","Q05","Q25","Q50","Q75","Q95","Mean","Exceed_15"
23519461,"CH","CH-2012",2012,0.102107597309764,0.534211787651173,3.00578065341787,7.85475664311189,11.7395970987787,4.19694282683945,0
23519461,"CH","CH-2009",2009,0,0.714220351809028,2.80245102988263,8.32569086263897,11.1592134241598,4.23291845086615,0
23519461,"CH","CH-2010",2010,0,0.550678640307875,2.47771222136846,7.00610025246391,11.04275550898,3.83015909378341,0
23519461,"CH","CH-1996",1996,0,0.901073374863128,2.55137553658396,5.40801834815896,10.9918712242435,3.76511271170882,0
23519461,"CH","CH-2007",2007,0,0.572024492166517,3.08530988922785,9.29678616792702,13.2808972391889,5.01969150628394,0
23519461,"CH","CH-2008",2008,0,0.587914340245908,2.65458112119699,7.32946233245739,11.3334929882041,4.05546806659691,0
23519461,"CH","CH-2023",2023,NA,NA,NA,NA,NA,NA,NA
23519461,"CH","CH-2011",2011,0,0.714504222953706,2.15539569392282,7.3217055852399,10.7261624092592,3.88757605128886,0
23519461,"CH","CH-2020",2020,0,0.466248961815384,2.25469729621649,7.75801197899828,11.5008278011166,4.17283369739039,0
23519461,"CH","CH-2021",2021,0,0.478942758970541,3.21344596467426,9.03008139253808,12.6661156270886,4.6687919669455,0
23519461,"CH","CH-2022",2022,NA,NA,NA,NA,NA,NA,NA
23519461,"CH","CH-2006",2006,0,0.792856287032382,3.19527795841106,7.84220435797717,11.9860119636475,4.39991452422991,0
23519461,"CH","CH-2024",2024,NA,NA,NA,NA,NA,NA,NA
23519801,"LO","LO-2011",2011,0.593253135196625,1.37192925100812,3.09849225286553,9.10509294743219,12.5440421486834,4.96909832117371,0
23519801,"LO","LO-2012",2012,0.781363438970485,1.28034513040058,4.0269247866059,9.5002770800661,13.7084724213129,5.36958249554269,0
23519801,"LO","LO-2013",2013,0.501098759480842,1.48827590092854,3.58307676541552,9.54538372521392,13.8383197191448,5.59994065696925,0
23519801,"LO","LO-2010",2010,0.598020143614078,1.28175222433397,3.20710398529937,8.47349137656844,12.7243891808457,4.76175006743168,0
23519801,"LO","LO-2021",2021,0.390969828431778,1.10684610709757,4.13971210476164,10.8860041332363,14.5447560554208,5.86352358948454,1
23519801,"LO","LO-2022",2022,NA,NA,NA,NA,NA,NA,NA
23519801,"LO","LO-2023",2023,NA,NA,NA,NA,NA,NA,NA
23519801,"LO","LO-2024",2024,NA,NA,NA,NA,NA,NA,NA
23519801,"LO","LO-2009",2009,0.599616115017865,1.56210862848925,3.88485997688876,9.65549190027055,13.1000777089259,5.33975711091938,0
23519801,"LO","LO-1997",1997,0.424898729738933,1.12061058573936,2.99233767625481,8.16416651976277,12.1640425722824,4.74250847244053,0
23519801,"LO","LO-1998",1998,0.561050355480921,1.21024104632117,3.35601596070972,8.01585226380483,13.5219507781416,5.07773739928147,0
23519801,"LO","LO-1999",1999,0.594399644252863,1.29438981030881,3.57492210729239,8.37267775087868,12.830868030732,4.8479043196428,0
23519801,"LO","LO-2000",2000,0.468723187052245,1.39872068317419,4.71790709580527,8.64953591077759,13.4483692949881,5.53090355204303,4
23519801,"LO","LO-2001",2001,0.310646497711617,1.16224840863228,4.00296765799101,9.98528658105509,13.7757256912598,5.64239294176129,3
23519801,"LO","LO-2002",2002,0.499678847012355,1.4066845043024,3.95973128870281,9.58041168228472,13.4547994872664,5.46987835102417,2
23519801,"LO","LO-2014",2014,0.561258226080499,1.4607257122638,3.70267696763949,9.32362046515838,13.3800842635788,5.24271804559506,0
23519801,"LO","LO-2015",2015,0.752568746758983,1.9843048384662,4.41374522347929,10.2816524113349,13.4237642995831,5.99608513780524,0
23519801,"LO","LO-2008",2008,0.465305523042421,1.4436460849909,3.41514938967931,8.78710202578083,13.1801548894854,5.05467022840661,0
23519801,"LO","LO-2007",2007,0.46927811957915,1.34928601518687,4.06218728458258,10.1292576940479,14.7072036525587,5.95584832676516,9
23519801,"LO","LO-2017",2017,0.468497120401457,1.24147138423696,3.91369583384589,8.31470966481765,13.7456094921942,5.32734513101235,0
23519801,"LO","LO-2018",2018,0.765218772552572,1.33867800241528,3.56149951728101,9.24985751266538,14.0351291817483,5.35251302357723,0
23519801,"LO","LO-2019",2019,0.422665331597626,1.1410888944338,3.90097098541581,9.10040122275979,13.1942917117064,5.25005466795116,0
23519801,"LO","LO-2016",2016,0.655364590052703,1.73531390235826,4.94656140440702,9.4027583273874,13.1583970387965,5.78681465279944,0
23519801,"LO","LO-2006",2006,0.489999399895831,1.41981915613377,4.00608124550629,9.21898181565213,13.5355323486106,5.4661974077505,5
23519801,"LO","LO-1993",1993,0.475863568783525,1.26983709152015,3.56525805484263,7.61699223881858,10.6413705055267,4.60938237458598,0
23519801,"LO","LO-1994",1994,0.41556892599344,1.17458768576288,4.33240176159436,9.82401598509643,13.5818472601522,5.63190112726978,0
23519801,"LO","LO-2020",2020,0.356798623316672,1.23567926512451,3.39103804117986,8.93462626463809,13.5384050195178,5.16004718596353,0
23519801,"LO","LO-1992",1992,0.40785029800327,1.33467348098104,4.23008321479594,9.0076732766703,13.0468580072151,5.4427514855917,0
23519801,"LO","LO-2005",2005,0.551993073834231,1.70834906318411,3.81331851884509,8.52575077441016,13.502511071064,5.39283943256243,0
23519801,"LO","LO-1995",1995,0.586985755243455,1.41478240540716,3.29938461711223,7.4054463821617,11.8785366745848,4.64757180914026,0
23519801,"LO","LO-1996",1996,0.434057260392408,1.77494843441777,3.47478394691072,6.81708291275662,12.5095651640669,4.80223026065105,0
23519801,"LO","LO-2003",2003,0.623361659842874,1.39293130142089,3.75900929159049,9.6091200541343,14.2395756962551,5.49471305708889,7
23519801,"LO","LO-2004",2004,0.476318900411833,1.2156949210463,4.7431342461128,8.92707826322556,13.3470571493668,5.4807914749191,0
23531915,"BL","BL-1999",1999,0.815884491516231,1.57586538628173,4.52805080617025,9.22425954015339,14.7639426771294,5.78055672094964,16
23531915,"BL","BL-2000",2000,0.745927096578021,2.00093139102321,5.5213353683446,9.83897130445043,15.493603408298,6.55450727557305,27
23531915,"BL","BL-2001",2001,0.520148378065404,1.49254404074326,4.89470238813607,11.9683564291214,15.9919749924628,6.74168635172358,45
23531915,"BL","BL-2002",2002,0.574021092414312,1.53766695116439,5.0517258678132,11.2416105275409,15.5360824953735,6.58203507485091,25
23531915,"BL","BL-2003",2003,0.952080989607531,2.02259706704853,4.86674214937883,11.0668868457605,16.4237516560499,6.62642525982778,43
23531915,"BL","BL-2004",2004,0.813833819318157,1.70124834111387,5.93741830232197,10.8577491586691,15.4797481804241,6.60852198485511,34
23531915,"BL","BL-2005",2005,0.865657532565897,2.30858300886187,5.40365581624519,10.2677943849744,15.7081278943792,6.70884946711644,33
23531915,"BL","BL-2006",2006,0.848465401145041,1.7376686529477,5.26167535117723,10.9845816295888,15.6098373058806,6.618403087639,35
23531915,"BL","BL-2007",2007,0.49933535431197,1.88703881514808,5.1141196816735,11.9427308742713,16.9029972599255,7.00282154746452,45
23531915,"BL","BL-2008",2008,0.537128059636959,1.84160899614559,4.55976945806992,9.82144846527153,15.1634328574644,6.00541682849985,22
