"Ptagis_ID","Year","Q05","Q25","Q50","Q75","Q95","Mean"
"CHAMWF",1993,0.018106765,0.774757827,3.719775957,8.231399797,10.97522802,4.615231243
"CHAMWF",1994,0,0.76554502,4.459205753,9.287861543,13.22720797,5.336028284
"CHAMWF",1995,0.091516308,0.922553911,3.392021927,8.438946762,11.9189495,4.655253844
"CHAMWF",1996,0,1.017782465,3.175844719,6.590505071,12.09412015,4.3568755
"CHAMWF",1997,0,0.622334141,3.021772312,8.177061265,12.0804164,4.54872397
"CHAMWF",1998,0,0.751085103,3.188910679,8.358711311,13.499196,5.02077081
"CHAMWF",1999,0.062703979,0.9684818,3.515932314,8.108765468,12.42556306,4.586491906
"CHAMWF",2000,0.001419196,1.033857257,4.62294988,8.85763192,12.9518348,5.227514655
"CHAMWF",2001,0,0.600044843,3.679004981,10.0556217,13.3660144,5.280281828
"CHAMWF",2002,0,0.793916029,3.709265144,9.137299288,12.90200147,5.110321309
"SALREF",2007,0.252157071,2.06269996,6.333126749,13.22873546,17.88367578,7.761774564
"SALREF",2008,0.177526875,1.872743195,5.222033887,11.11707188,16.1715629,6.55197101
"SALREF",2019,0.342721045,1.503065511,6.068123157,10.80257975,16.0552314,6.74281271
"SALREF",2020,0.225670053,1.292592871,4.940890567,11.25929021,16.64675961,6.739506877
"SALREF",2010,0.514320782,1.867558991,4.753589785,10.26011644,15.42105983,6.191589438
"SALREF",2006,0.635510141,1.622391744,5.922217267,11.18162445,16.5373968,6.905386281
"SALREF",2018,0.759058816,1.874712057,5.640883851,11.7543194,17.09914436,7.04478315
"SALREF",2005,0.604087692,2.391084654,5.617544992,10.57127004,16.1306216,6.790060236
"SALREF",2015,0.765869262,2.720111716,6.856920467,12.64501734,16.23270419,7.559056435
"SALREF",1992,0.390103687,1.742113824,7.061088114,11.97073545,16.02708958,7.208731114
"SALREF",2021,0.234243034,1.343864273,6.54798324,13.13081248,17.84808483,7.585957487
"SALREF",2009,0.41391622,2.211379991,5.816479901,12.19975363,15.75203112,6.889532398
"SALREF",2004,0.466967011,1.649176329,7.20077494,11.42941809,16.15342027,7.096648277
"SALREF",2016,0.431829524,2.203448484,7.204725283,11.50239633,16.22256218,7.283109772
"SALREF",2017,0.045068039,1.961198352,5.74459909,10.18381732,16.25449589,6.864608008
"SALREF",2003,0.785727712,1.873169956,5.315856594,12.21286409,17.4513929,7.091789626
"SALREF",2022,NA,NA,NA,NA,NA,NA
"SALREF",2023,NA,NA,NA,NA,NA,NA
"SALREF",2011,0.547117534,1.654172523,4.392562896,11.13758836,15.08531456,6.36207211
"SALREF",1993,0.245877166,1.228344447,5.533384708,9.674594681,13.41852253,5.968175201
"SALREF",2013,0.227804873,1.855561779,5.93246575,12.02076432,16.74745452,7.174218628
"SALREF",2014,0.257432322,2.419068027,5.575639135,11.86984276,16.05697863,6.85284675
"SALREF",1999,0.675769271,1.643990753,5.405962017,10.65542629,15.58825695,6.382439648
"SALREF",2012,0.677191148,1.672259712,6.04428099,12.03861565,16.5695557,6.954960018
"SALREF",2001,0.283019191,1.398526003,5.625648443,12.61143941,16.62229456,7.227012673
"SALREF",2002,0.213998343,1.257028948,5.756372954,11.83687129,16.52132224,7.008655679
"SALREF",1995,0.525389105,1.618118947,4.981231354,9.603555502,14.44282806,5.960028024
"SALREF",2000,0.435879761,1.912513595,6.900139548,11.2196698,16.66726056,7.296211576
"SALREF",1996,0.349825011,2.240199121,5.012845746,10.02509041,15.38816447,6.349565827
"SALREF",1994,0.237775326,1.359151168,6.263657018,12.51287606,16.67313281,7.341464635
"SALREF",1998,0.4027801,1.469568192,4.955480892,9.50448961,16.290454,6.509223608
"SALREF",2024,NA,NA,NA,NA,NA,NA
"SALREF",1997,0.545353301,1.563064351,4.447271762,10.69070217,15.08499169,6.388587562
"ELKC",2022,NA,NA,NA,NA,NA,NA
"ELKC",2023,NA,NA,NA,NA,NA,NA
"ELKC",1997,0,0.532373928,3.216778938,9.153388474,13.35901211,4.980556281
"ELKC",2024,NA,NA,NA,NA,NA,NA
"ELKC",1996,0,1.641298106,3.865866526,7.484297396,14.11921758,5.125798687
"ELKC",2009,0,1.106126191,4.134002717,11.17457717,14.49883597,5.776354248
"ELKC",1992,0,1.103690046,5.03008469,10.38343961,14.52847362,5.968180155
"ELKC",1993,0,0.542825357,4.082487376,8.74327616,12.10783132,4.893043485
"ELKC",1994,0,0.743443744,4.949076685,10.96218468,15.58810891,6.045736436
"ELKC",1995,0,0.940894099,3.576368383,8.558414079,13.01110946,4.975625779
"ELKC",2021,0,0.483401847,4.198801611,11.87493427,16.08952937,6.08569878
"ELKC",2000,0,1.153238141,5.146829913,9.719588671,14.94700554,5.860917901
"ELKC",2010,0,1.021754157,3.731931093,9.598517758,14.31739315,5.233940616
"ELKC",1998,0,0.751809034,3.796272224,9.388962717,15.2776524,5.546463937
"ELKC",1999,0,0.73597556,3.84583746,8.666282183,13.93691071,5.032113555
"ELKC",2005,0,1.596190506,4.468059387,9.576741875,14.88738196,5.901708769
"ELKC",2002,0,0.576821096,4.386614196,10.54308224,15.09724759,5.749551339
"ELKC",2003,0.27901816,1.203451284,3.958147611,10.14554676,15.89039396,5.826994008
"ELKC",2004,0,0.782786015,5.735995244,9.985586086,15.06553329,5.900431046
"ELKC",2020,0,0.753817203,3.556681082,9.838642426,14.86185738,5.51994482
"ELKC",2006,0,0.795313003,4.386807869,9.775774924,15.1950231,5.728012676
"ELKC",2007,0,1.074857706,4.408234942,11.48683649,16.78208509,6.445402489
"ELKC",2008,0,0.921022768,4.142278875,9.845380164,14.50906078,5.323423239
"ELKC",2012,0.010016014,0.651235576,4.081339655,10.45429958,15.19088252,5.548786471
"ELKC",2013,0,1.047623851,3.921801865,10.51745667,15.19105891,5.932864305
"ELKC",2001,0,0.460218772,4.608314669,11.37895725,15.45970894,6.098104017
"ELKC",2011,0,0.853540361,3.239663215,10.10097438,13.94234586,5.236330844
"ELKC",2014,0,1.123302771,4.218816856,10.36528744,15.10177108,5.60849145
"ELKC",2015,0.19371615,1.846567361,5.078480555,11.54770333,15.04187915,6.596451039
"ELKC",2016,0,1.447605484,5.636645515,10.41471705,14.36136906,6.12404956
